expr,time,trial,mat_size,memory_used
ArmadilloBase,97223,121,1,78790400
ArmadilloIterator,111773,121,1,78790400
Rbase,21347,122,1,78790496
ArmadilloBase,115259,122,1,78790496
ArmadilloIterator,88570,122,1,78790496
Rbase,37944,123,1,78790568
ArmadilloIterator,197209,123,1,78790568
ArmadilloBase,39806,123,1,78790568
Rbase,18834,124,1,78790664
ArmadilloBase,86950,124,1,78790664
ArmadilloIterator,128706,124,1,78790664
ArmadilloIterator,149732,125,1,78790736
Rbase,12800,125,1,78790736
ArmadilloBase,42005,125,1,78790736
Rbase,33469,126,1,78790832
ArmadilloIterator,159013,126,1,78790832
ArmadilloBase,34648,126,1,78790832
Rbase,29727,127,1,78790904
ArmadilloBase,105823,127,1,78790904
ArmadilloIterator,84106,127,1,78790904
ArmadilloBase,103523,128,1,78791016
Rbase,5771,128,1,78791016
ArmadilloIterator,84212,128,1,78791016
ArmadilloBase,101684,129,1,78791112
Rbase,5928,129,1,78791112
ArmadilloIterator,86018,129,1,78791112
ArmadilloBase,176355,130,1,78791184
ArmadilloIterator,104050,130,1,78791184
Rbase,6051,130,1,78791184
ArmadilloBase,279257,131,1,78791280
Rbase,10430,131,1,78791280
ArmadilloIterator,125603,131,1,78791280
Rbase,20681,132,1,78791352
ArmadilloBase,100951,132,1,78791352
ArmadilloIterator,123825,132,1,78791352
ArmadilloIterator,181688,133,1,78791448
ArmadilloBase,39285,133,1,78791448
Rbase,4827,133,1,78791448
ArmadilloIterator,183739,134,1,78791520
ArmadilloBase,49699,134,1,78791520
Rbase,5326,134,1,78791520
Rbase,20072,135,1,78791632
ArmadilloBase,86411,135,1,78791632
ArmadilloIterator,78069,135,1,78791632
ArmadilloBase,102677,136,1,78791728
Rbase,14161,136,1,78791728
ArmadilloIterator,87017,136,1,78791728
ArmadilloBase,119471,137,1,78791800
ArmadilloIterator,93804,137,1,78791800
Rbase,6155,137,1,78791800
ArmadilloIterator,153287,138,1,78791896
Rbase,9382,138,1,78791896
ArmadilloBase,34553,138,1,78791896
ArmadilloBase,126692,139,1,78791968
Rbase,6251,139,1,78791968
ArmadilloIterator,114986,139,1,78791968
Rbase,26767,140,1,78792064
ArmadilloBase,125135,140,1,78792064
ArmadilloIterator,106176,140,1,78792064
ArmadilloBase,152803,141,1,78792176
ArmadilloIterator,91841,141,1,78792176
Rbase,5656,141,1,78792176
ArmadilloBase,87614,142,1,78792248
Rbase,5620,142,1,78792248
ArmadilloIterator,88349,142,1,78792248
ArmadilloIterator,163616,143,1,78792344
Rbase,13094,143,1,78792344
ArmadilloBase,50575,143,1,78792344
ArmadilloIterator,203474,144,1,78792416
ArmadilloBase,55596,144,1,78792416
Rbase,7719,144,1,78792416
ArmadilloIterator,221501,145,1,78792512
ArmadilloBase,122484,145,1,78792512
Rbase,7417,145,1,78792512
Rbase,32409,146,1,78792584
ArmadilloBase,136208,146,1,78792584
ArmadilloIterator,89546,146,1,78792584
Rbase,45327,147,1,78792680
ArmadilloBase,222952,147,1,78792680
ArmadilloIterator,95054,147,1,78792680
ArmadilloIterator,213191,148,1,78792792
ArmadilloBase,77030,148,1,78792792
Rbase,11670,148,1,78792792
ArmadilloBase,109424,149,1,78792864
ArmadilloIterator,90732,149,1,78792864
Rbase,5456,149,1,78792864
ArmadilloIterator,149795,150,1,78792960
Rbase,9742,150,1,78792960
ArmadilloBase,36722,150,1,78792960
ArmadilloBase,197681,151,1,78793032
ArmadilloIterator,110954,151,1,78793032
Rbase,7139,151,1,78793032
ArmadilloBase,81250,152,1,78793128
ArmadilloIterator,60953,152,1,78793128
Rbase,4255,152,1,78793128
ArmadilloIterator,160917,153,1,78793200
ArmadilloBase,54988,153,1,78793200
Rbase,7197,153,1,78793200
ArmadilloIterator,197717,154,1,78793296
Rbase,11728,154,1,78793296
ArmadilloBase,49076,154,1,78793296
Rbase,23412,155,1,78793408
ArmadilloBase,103731,155,1,78793408
ArmadilloIterator,79483,155,1,78793408
ArmadilloBase,102552,156,1,78793480
Rbase,6005,156,1,78793480
ArmadilloIterator,83368,156,1,78793480
ArmadilloBase,102776,157,1,78793576
Rbase,6059,157,1,78793576
ArmadilloIterator,96301,157,1,78793576
ArmadilloIterator,270696,158,1,78793648
Rbase,25582,158,1,78793648
ArmadilloBase,62962,158,1,78793648
ArmadilloBase,100508,159,1,78793744
Rbase,5038,159,1,78793744
ArmadilloIterator,80554,159,1,78793744
ArmadilloIterator,264113,160,1,78793816
ArmadilloBase,54729,160,1,78793816
Rbase,7415,160,1,78793816
Rbase,31724,161,1,78793928
ArmadilloIterator,220336,161,1,78793928
ArmadilloBase,69074,161,1,78793928
ArmadilloBase,98393,162,1,78794024
ArmadilloIterator,82063,162,1,78794024
Rbase,5182,162,1,78794024
ArmadilloBase,145341,163,1,78794096
Rbase,7287,163,1,78794096
ArmadilloIterator,99656,163,1,78794096
Rbase,18317,164,1,78794192
ArmadilloBase,103949,164,1,78794192
ArmadilloIterator,90142,164,1,78794192
Rbase,20094,165,1,78794264
ArmadilloIterator,155219,165,1,78794264
ArmadilloBase,39184,165,1,78794264
ArmadilloBase,100671,166,1,78794360
ArmadilloIterator,82356,166,1,78794360
Rbase,5334,166,1,78794360
ArmadilloBase,103512,167,1,78794432
Rbase,5377,167,1,78794432
ArmadilloIterator,86908,167,1,78794432
ArmadilloBase,220537,168,1,78794544
ArmadilloIterator,107680,168,1,78794544
Rbase,6126,168,1,78794544
ArmadilloBase,315819,169,1,78794640
Rbase,17256,169,1,78794640
ArmadilloIterator,166857,169,1,78794640
Rbase,32146,170,1,78794712
ArmadilloIterator,141740,170,1,78794712
ArmadilloBase,48916,170,1,78794712
ArmadilloIterator,234293,171,1,78794808
Rbase,9875,171,1,78794808
ArmadilloBase,85418,171,1,78794808
ArmadilloIterator,244789,172,1,78794880
Rbase,18403,172,1,78794880
ArmadilloBase,67739,172,1,78794880
