expr,time,trial,mat_size,memory_used
RcppOpenMP,193815,105,1,51533968
RparallelColumn,48261423,105,1,51533968
RcppOpenMP,236379,106,1,51534120
RparallelColumn,45459959,106,1,51534120
RcppParallel,253785,106,1,51534120
RparallelRow,35899591,106,1,51534120
RcppOpenMP,200666,107,1,51534232
RparallelRow,37211612,107,1,51534232
RcppParallel,290373,107,1,51534232
RparallelColumn,48866624,107,1,51534232
RcppOpenMP,222092,108,1,51534344
RcppParallel,179829,108,1,51534344
RparallelColumn,43590695,108,1,51534344
RparallelRow,37885124,108,1,51534344
RcppOpenMP,255885,109,1,51534456
RparallelColumn,45233128,109,1,51534456
RparallelRow,38999667,109,1,51534456
RcppParallel,293766,109,1,51534456
RcppParallel,259080,110,1,51534568
RparallelColumn,43783843,110,1,51534568
RparallelRow,35567654,110,1,51534568
RcppOpenMP,214451,110,1,51534568
RcppParallel,249694,111,1,51534696
RcppOpenMP,159474,111,1,51534696
RparallelColumn,44025561,111,1,51534696
RparallelRow,43462678,111,1,51534696
RparallelColumn,43303251,112,1,51534808
RparallelRow,42156154,112,1,51534808
RcppOpenMP,228660,112,1,51534808
RcppParallel,236361,112,1,51534808
RparallelColumn,44324547,113,1,51534920
RparallelRow,38254754,113,1,51534920
RcppParallel,239941,113,1,51534920
RcppOpenMP,2055321,113,1,51534920
RparallelRow,35795536,114,1,51535032
RparallelColumn,49345896,114,1,51535032
RcppOpenMP,174885,114,1,51535032
RcppParallel,218077,114,1,51535032
RcppOpenMP,200117,115,1,51535144
RparallelColumn,45477238,115,1,51535144
RcppParallel,255571,115,1,51535144
RparallelRow,40028095,115,1,51535144
RcppParallel,221262,116,1,51535296
RparallelRow,36735995,116,1,51535296
RcppOpenMP,206040,116,1,51535296
RparallelColumn,51839460,116,1,51535296
RcppOpenMP,214577,117,1,51535408
RparallelColumn,45019596,117,1,51535408
RparallelRow,39918375,117,1,51535408
RcppParallel,295343,117,1,51535408
RcppOpenMP,224469,118,1,51535520
RcppParallel,208090,118,1,51535520
RparallelRow,32806159,118,1,51535520
RparallelColumn,49628012,118,1,51535520
RcppParallel,226902,119,1,51535632
RparallelRow,37993607,119,1,51535632
RcppOpenMP,195462,119,1,51535632
RparallelColumn,51203054,119,1,51535632
RcppOpenMP,196677,120,1,51535744
RparallelColumn,45907958,120,1,51535744
RparallelRow,37404761,120,1,51535744
RcppParallel,218206,120,1,51535744
RcppParallel,220165,121,1,51535872
RparallelColumn,43802823,121,1,51535872
RparallelRow,39143673,121,1,51535872
RcppOpenMP,219557,121,1,51535872
RcppOpenMP,223367,122,1,51535984
RparallelRow,36387151,122,1,51535984
RparallelColumn,50512967,122,1,51535984
RcppParallel,199103,122,1,51535984
RcppParallel,238296,123,1,51536096
RcppOpenMP,145645,123,1,51536096
RparallelColumn,45551708,123,1,51536096
RparallelRow,38207205,123,1,51536096
RparallelColumn,44070059,124,1,51536208
RparallelRow,41975967,124,1,51536208
RcppOpenMP,199269,124,1,51536208
RcppParallel,239852,124,1,51536208
RparallelRow,37751429,125,1,51536320
RcppOpenMP,217392,125,1,51536320
RparallelColumn,48986507,125,1,51536320
RcppParallel,201092,125,1,51536320
RparallelRow,38647116,126,1,51536472
RcppParallel,234643,126,1,51536472
RcppOpenMP,155579,126,1,51536472
RparallelColumn,52604060,126,1,51536472
RcppOpenMP,230659,127,1,51536584
RparallelRow,33459399,127,1,51536584
RparallelColumn,49299552,127,1,51536584
RcppParallel,205805,127,1,51536584
RparallelColumn,43902010,128,1,51536696
RcppOpenMP,211157,128,1,51536696
RparallelRow,37934281,128,1,51536696
RcppParallel,234340,128,1,51536696
RcppOpenMP,223191,129,1,51536808
RcppParallel,220556,129,1,51536808
RparallelColumn,44241980,129,1,51536808
RparallelRow,38412138,129,1,51536808
RparallelRow,36664924,130,1,51536920
RcppParallel,275731,130,1,51536920
RparallelColumn,51092873,130,1,51536920
RcppOpenMP,179711,130,1,51536920
RparallelRow,31959222,131,1,51537048
RcppParallel,267411,131,1,51537048
RcppOpenMP,2046273,131,1,51537048
RparallelColumn,50690609,131,1,51537048
RparallelRow,32202502,132,1,51537160
RcppOpenMP,232417,132,1,51537160
RparallelColumn,49395704,132,1,51537160
RcppParallel,218227,132,1,51537160
RparallelColumn,43385717,133,1,51537272
RcppOpenMP,218784,133,1,51537272
RparallelRow,42260095,133,1,51537272
RcppParallel,335996,133,1,51537272
RparallelColumn,44310926,134,1,51537384
RparallelRow,44046480,134,1,51537384
RcppParallel,308372,134,1,51537384
RcppOpenMP,142961,134,1,51537384
RcppParallel,232713,135,1,51537496
RcppOpenMP,143075,135,1,51537496
RparallelColumn,46135717,135,1,51537496
RparallelRow,35960406,135,1,51537496
RparallelRow,34655789,136,1,51537648
RcppOpenMP,255108,136,1,51537648
RcppParallel,274126,136,1,51537648
RparallelColumn,48907656,136,1,51537648
RcppOpenMP,229172,137,1,51537760
RparallelRow,38333771,137,1,51537760
RparallelColumn,49396817,137,1,51537760
RcppParallel,223130,137,1,51537760
RcppParallel,237679,138,1,51537872
RcppOpenMP,166930,138,1,51537872
RparallelRow,36971144,138,1,51537872
RparallelColumn,50059170,138,1,51537872
RparallelColumn,44789211,139,1,51537984
RparallelRow,41755326,139,1,51537984
RcppParallel,229055,139,1,51537984
RcppOpenMP,171107,139,1,51537984
RparallelColumn,45458615,140,1,51538096
RparallelRow,36569026,140,1,51538096
RcppParallel,232898,140,1,51538096
RcppOpenMP,172065,140,1,51538096
RparallelRow,39246329,141,1,51538224
RcppParallel,215856,141,1,51538224
RparallelColumn,47862110,141,1,51538224
RcppOpenMP,197845,141,1,51538224
RparallelColumn,43107976,142,1,51538336
RcppParallel,209755,142,1,51538336
RparallelRow,36286034,142,1,51538336
RcppOpenMP,202079,142,1,51538336
RparallelRow,36337156,143,1,51538448
RcppOpenMP,197408,143,1,51538448
RcppParallel,239159,143,1,51538448
RparallelColumn,49289190,143,1,51538448
RparallelColumn,43806489,144,1,51538560
RcppOpenMP,190586,144,1,51538560
RparallelRow,36620922,144,1,51538560
RcppParallel,232440,144,1,51538560
RcppOpenMP,263330,145,1,51538672
RcppParallel,233481,145,1,51538672
RparallelColumn,43755012,145,1,51538672
RparallelRow,37167214,145,1,51538672
RcppParallel,280586,146,1,51538824
RparallelColumn,43534219,146,1,51538824
RparallelRow,40454573,146,1,51538824
RcppOpenMP,220211,146,1,51538824
RparallelRow,38198104,147,1,51538936
RcppOpenMP,209923,147,1,51538936
RcppParallel,225424,147,1,51538936
RparallelColumn,51445852,147,1,51538936
RparallelColumn,42274195,148,1,51539048
RparallelRow,37072704,148,1,51539048
RcppParallel,286381,148,1,51539048
RcppOpenMP,156432,148,1,51539048
RparallelRow,35065624,149,1,51539160
RparallelColumn,48487320,149,1,51539160
RcppParallel,207047,149,1,51539160
RcppOpenMP,141989,149,1,51539160
RcppOpenMP,200721,150,1,51539272
RparallelColumn,44567114,150,1,51539272
RcppParallel,209759,150,1,51539272
RparallelRow,37064666,150,1,51539272
RparallelRow,36168819,151,1,51539400
RcppParallel,258127,151,1,51539400
RcppOpenMP,156695,151,1,51539400
RparallelColumn,49765175,151,1,51539400
RparallelRow,33740404,152,1,51539512
RparallelColumn,44910690,152,1,51539512
RcppParallel,200763,152,1,51539512
