"expr","time","trial","mat_size","memory_used"
"ArmadilloIterator",4182370304,32,3,133408840
"ArmadilloBase",50065145,32,3,133408840
"Rbase",49595563,32,3,133408840
"Rbase",56810,33,1,133408840
"ArmadilloBase",116235,33,1,133408840
"ArmadilloIterator",65695,33,1,133408840
"Rbase",116944,33,2,133408840
"ArmadilloIterator",6741865,33,2,133408840
"ArmadilloBase",135306,33,2,133408840
"ArmadilloIterator",4237687566,33,3,133408840
"Rbase",52263361,33,3,133408840
"ArmadilloBase",47841903,33,3,133408840
"Rbase",25393,34,1,133408840
"ArmadilloBase",73685,34,1,133408840
"ArmadilloIterator",60631,34,1,133408840
"ArmadilloBase",184931,34,2,133408840
"Rbase",115090,34,2,133408840
"ArmadilloIterator",6619677,34,2,133408840
"ArmadilloIterator",4240013355,34,3,133408840
"ArmadilloBase",56142377,34,3,133408840
"Rbase",48386533,34,3,133408840
"Rbase",20330,35,1,133408840
"ArmadilloIterator",120658,35,1,133408840
"ArmadilloBase",25706,35,1,133408840
"ArmadilloIterator",6573499,35,2,133408840
"Rbase",82787,35,2,133408840
"ArmadilloBase",116875,35,2,133408840
"Rbase",50465857,35,3,133408840
"ArmadilloBase",45796546,35,3,133408840
"ArmadilloIterator",4291481817,35,3,133408840
"ArmadilloBase",87350,36,1,133408840
"ArmadilloIterator",63473,36,1,133408840
"Rbase",4633,36,1,133408840
"ArmadilloIterator",6532462,36,2,133408840
"ArmadilloBase",113816,36,2,133408840
"Rbase",71543,36,2,133408840
"Rbase",44360846,36,3,133408840
"ArmadilloBase",40906916,36,3,133408840
"ArmadilloIterator",4218637442,36,3,133408840
"ArmadilloIterator",104186,37,1,133408840
"Rbase",9246,37,1,133408840
"ArmadilloBase",32505,37,1,133408840
"ArmadilloBase",186808,37,2,133408840
"ArmadilloIterator",6959330,37,2,133408840
"Rbase",105844,37,2,133408840
"ArmadilloIterator",4165717956,37,3,133408840
"Rbase",47872180,37,3,133408840
"ArmadilloBase",48596651,37,3,133408840
"ArmadilloBase",203853,38,1,133408840
"ArmadilloIterator",78327,38,1,133408840
"Rbase",9192,38,1,133408840
"ArmadilloIterator",6363774,38,2,133408840
"ArmadilloBase",132522,38,2,133408840
"Rbase",69961,38,2,133408840
"Rbase",44357000,38,3,133408840
"ArmadilloBase",48322959,38,3,133408840
"ArmadilloIterator",4254928767,38,3,133408840
"Rbase",17262,39,1,133408840
"ArmadilloBase",71525,39,1,133408840
"ArmadilloIterator",63232,39,1,133408840
"ArmadilloBase",241278,39,2,133408840
"ArmadilloIterator",6967123,39,2,133408840
"Rbase",89183,39,2,133408840
"ArmadilloIterator",4161192802,39,3,133408840
"Rbase",54158024,39,3,133408840
"ArmadilloBase",49431971,39,3,133408840
"Rbase",17036,40,1,133408840
"ArmadilloIterator",101036,40,1,133408840
"ArmadilloBase",24771,40,1,133408840
"ArmadilloIterator",6598374,40,2,133408840
"ArmadilloBase",126572,40,2,133408840
"Rbase",75546,40,2,133408840
"ArmadilloBase",45883345,40,3,133408840
"ArmadilloIterator",4225977342,40,3,133408840
"Rbase",45906879,40,3,133408840
"ArmadilloIterator",121296,41,1,133408840
"ArmadilloBase",27871,41,1,133408840
"Rbase",4027,41,1,133408840
"ArmadilloIterator",6727050,41,2,133408840
"ArmadilloBase",120098,41,2,133408840
"Rbase",78346,41,2,133408840
"Rbase",45604032,41,3,133408840
"ArmadilloBase",40113399,41,3,133408840
"ArmadilloIterator",4181151205,41,3,133408840
"ArmadilloIterator",95704,42,1,133408840
"Rbase",8239,42,1,133408840
"ArmadilloBase",31852,42,1,133408840
"ArmadilloBase",191024,42,2,133408840
"ArmadilloIterator",9242834,42,2,133408840
"Rbase",129434,42,2,133408840
"Rbase",44756946,42,3,133408840
"ArmadilloBase",46837019,42,3,133408840
"ArmadilloIterator",4236447247,42,3,133408840
"ArmadilloIterator",108990,43,1,133408840
"Rbase",6737,43,1,133408840
"ArmadilloBase",23326,43,1,133408840
"ArmadilloBase",193654,43,2,133408840
"Rbase",90826,43,2,133408840
"ArmadilloIterator",6763793,43,2,133408840
"Rbase",46587943,43,3,133408840
"ArmadilloBase",44878855,43,3,133408840
"ArmadilloIterator",4187106524,43,3,133408840
"ArmadilloIterator",131822,44,1,133408840
"ArmadilloBase",40989,44,1,133408840
"Rbase",4145,44,1,133408840
"ArmadilloBase",264692,44,2,133408840
"ArmadilloIterator",8209881,44,2,133408840
"Rbase",97192,44,2,133408840
"Rbase",44856283,44,3,133408840
"ArmadilloBase",46321693,44,3,133408840
"ArmadilloIterator",4217699590,44,3,133408840
"Rbase",21830,45,1,133408840
"ArmadilloBase",81917,45,1,133408840
"ArmadilloIterator",94528,45,1,133408840
"ArmadilloIterator",6573449,45,2,133408840
"ArmadilloBase",120780,45,2,133408840
"Rbase",74411,45,2,133408840
"ArmadilloBase",43804683,45,3,133408840
"ArmadilloIterator",4214879884,45,3,133408840
"Rbase",48203900,45,3,133408840
"ArmadilloBase",71740,46,1,133408840
"Rbase",5627,46,1,133408840
"ArmadilloIterator",69256,46,1,133408840
"ArmadilloIterator",6598966,46,2,133408840
"Rbase",86891,46,2,133408840
"ArmadilloBase",121660,46,2,133408840
"ArmadilloIterator",4200307009,46,3,133408840
"Rbase",49199932,46,3,133408840
"ArmadilloBase",48432749,46,3,133408840
"ArmadilloIterator",117008,47,1,133408840
"Rbase",7241,47,1,133408840
"ArmadilloBase",26094,47,1,133408840
"ArmadilloBase",173003,47,2,133408840
"ArmadilloIterator",6599384,47,2,133408840
"Rbase",92895,47,2,133408840
"ArmadilloBase",46547380,47,3,133408840
"ArmadilloIterator",4244945463,47,3,133408840
"Rbase",44898817,47,3,133408840
"ArmadilloIterator",225152,48,1,133408840
"Rbase",15587,48,1,133408840
"ArmadilloBase",37776,48,1,133408840
"Rbase",106825,48,2,133408840
"ArmadilloBase",158460,48,2,133408840
"ArmadilloIterator",6529164,48,2,133408840
"ArmadilloIterator",4228650009,48,3,133408840
"ArmadilloBase",54516398,48,3,133408840
"Rbase",45697658,48,3,133408840
"Rbase",16861,49,1,133408840
"ArmadilloIterator",100224,49,1,133408840
"ArmadilloBase",24160,49,1,133408840
"Rbase",123192,49,2,133408840
"ArmadilloBase",170749,49,2,133408840
"ArmadilloIterator",6705868,49,2,133408840
"Rbase",44561906,49,3,133408840
"ArmadilloBase",46816676,49,3,133408840
"ArmadilloIterator",4294063954,49,3,133408840
"ArmadilloIterator",98500,50,1,133408840
"ArmadilloBase",37570,50,1,133408840
"Rbase",3888,50,1,133408840
"Rbase",148267,50,2,133408840
"ArmadilloIterator",6639424,50,2,133408840
"ArmadilloBase",136445,50,2,133408840
"Rbase",46091510,50,3,133408840
"ArmadilloBase",43252224,50,3,133408840
"ArmadilloIterator",4231594281,50,3,133408840
"ArmadilloIterator",119181,51,1,133408840
"Rbase",7542,51,1,133408840
"ArmadilloBase",28406,51,1,133408840
"ArmadilloIterator",6639348,51,2,133408840
"ArmadilloBase",141603,51,2,133408840
"Rbase",75967,51,2,133408840
"ArmadilloIterator",4235649223,51,3,133408840
"ArmadilloBase",51011178,51,3,133408840
"Rbase",47200164,51,3,133408840
"ArmadilloIterator",111539,52,1,133408840
"Rbase",19243,52,1,133408840
"ArmadilloBase",35980,52,1,133408840
"Rbase",120778,52,2,133408840
"ArmadilloBase",154730,52,2,133408840
"ArmadilloIterator",6565317,52,2,133408840
"ArmadilloIterator",4226617301,52,3,133408840
"Rbase",50469779,52,3,133408840
